,Name,Description,date_guess,type_guess
82,"*Santa Barbara, CA Glendessary Old Time Open Jam","<img src=""https://doc-00-a0-mymaps.googleusercontent.com/untrusted/hostedimage/mssabsa7slgdk9jv14qogv6rfg/e4pm38u2o09sela1o34uclga4k/1679292013750/Rwzruwph7FP6RHOal8qpCwcnwKUrNFzH/06273081418702902963/5AI-xGzzoTPUmqiI6S0ByrqybqkOAUNEbRpeCnU3w6bXDgv5YDOiquYT11Te6NNg4JahPqYxfY0DNJPU9b41r-Va5pdD26V301ItWyMgIgA_xGAJ5r5xHSW5fDTLstrQjsFSOnh_PgAUNRB8wIhdh7QICMDc6eRQVEsdgVqZXPFTu2lfzxrA57Pt5QGsJXnkaKTh23ikf?session=0&fife"" height=""200"" width=""auto"" /><br><br>Every Wednesday.  Alice Keck Park (during daylight savings time) & Rusty's Pizza (during standard time)                       Glendessary Jam has been getting together in Santa Barbara, California, to play Old Time American fiddle music for nearly 30 years. In summer (i.e. daylight savings time) we meet for a jam at Alice Keck Park on the corner of Santa Barbara St. and Micheltorena St. on Wednesdays at about 5 or 5:30pm. We play in the sundial near the gazebo. In winter (i.e. Pacific standard time) we go back to Rusty’s Pizza on Carrillo St. and Bath St. – usual time 5 or 5:30. It is an open jam for people who want to play or listen to old-time music.<br><br>Updated CR 12/18/2021",Wednesday,weekly gathering
85,"*Santa Cruz, CA",Monthly Old Time jam (4th Sunday) at Ocean View Park (not sure what they do in the winter) - see<br>https://groups.google.com/forum/#!forum/santacruzjam<br>Updated CR 5/25/2022,4th Sunday,weekly gathering
86,"Santa Cruz, CA",contact these folks<br>https://www.facebook.com/scoldtimemusiccollective<br>CR 11/14/18,contact these folks,annual event
88,"Sebastopol, CA","Old Time & Bluegrass Open Jam                              Every Saturday, 3-5pm. <br>Coffee & Moore<br>6761 Sebastopol Ave<br>Sebastopol<br>https://www.facebook.com/coffeenmoore             Updated JS 2/2/23",Saturday,weekly gathering
90,"Spring Valley, CA","California Old Time Fiddlers<br>Dist 7 Fiddle Jam and Business Meeting<br>Fiddle Tune Jam happens the 2nd Sunday each month. 12 - 3pm.<br>1815 Sweetwater Rd, Spring Valley, CA<br> The emphasis is on old time fiddle tunes, everyone who likes to play fiddle or backup on acoustic instruments is welcome. Beginners are especially welcome. If you're a young beginner or a young at heart beginner come sit in with us.<br><br>https://www.facebook.com/events/2248512618728409/<br>CR 11/6/18",2nd Sunday,weekly gathering
92,"Aurora, CO","Colfax Ave old-time jam will resume at The People's Building (9995 E Colfax Ave, Aurora, CO 80010) in March and continue through September, always on the last Sunday of the month.<br><br>The first three dates are:<br><br>Sunday, March 29 from 2-5pm<br>Sunday, April 26 from 2-5pm<br>Sunday, May 31 from 2-5pm<br><br>In June, we'll switch to a summer schedule with Sunday evening jams. Stay tuned for those dates and times.<br><br>Please feel free to spread the word. The more, the merrier! Musicians of all ages and abilities are welcome.<br><br>Join old-time musician, teacher & producer Matt Brown for a monthly jam session at The People's Building! Free to attend and open to all levels of string band players & listeners, the jam will feature a cash bar (yum) and is intentionally scheduled on days without Broncos games. Bring a friend or make a new friend or two!<br><br>Follow the host for future events updates<br><br>https://www.facebook.com/pg/oldtimemattbrown/events/?<br><br>Updated CR 3/6/2020",Sunday,weekly gathering
93,"*Boulder, CO","Ben Burdette & Ben Guzman are kicking off a 4th FRIDAY OLD TIME JAM! <br>Uhl's Brewing Co<br>5460 Conestoga Court, Boulder, CO<br><br>Ben & Ben have been working on a bunch of tunes and songs over the last year. 6-7pm will be a 1 hour set of music from The Bens (w/some friends). 7-9pm will be an OPEN OLD TIME JAM till CLOSE!<br>Come out, have a beer! Enjoy the LIVE OLD TIME MUSIC!<br>Please buy a refreshment or two, and TIP YOUR BARTENDER!<br>4th FRIDAYS - JANUARY to APRIL THUS FAR! <br><br>https://www.facebook.com/events/3317240251863628/?<br><br>CR 1/18/2023",6-7pm,weekly gathering
94,"*Boulder, CO",Old Time Jam<br>Second Thursdays<br>6-9pm<br><br>Trident Cafe<br>940 Pearl St<br><br>https://www.facebook.com/groups/382894801735395/?<br><br>CR 12/6/2022,Second Thursdays,weekly gathering
96,"Boulder, CO","Old Time Open Jam                                                     1227 Scrub Oak Circle, Boulder, CO<br>Every Thursday, 7:30pm to 10:30pm                         This is a private residence so you need to contact Hal Landem or Ben Burdette ahead of time on facebook.                                                        Updated CR 3/1/2020","Thursday, 7:30pm to 10:30pm",weekly gathering
99,"*Centennial, CO","Tuesdays. 7-9pm. <br>We regret to announce that we will no longer be having our jams at Modern Brew. They were a gracious host, and we are grateful for the wonderful musical moments and the new friendships we made there. Modern Brew asked us to change the terms of the jam by imposing either a 2 drink (alcoholic) minimum or a $15 door fee (whichever comes first) per person. Of course, many of you would have a beer or 2, but we didn’t want to move into the dreaded ”pay to play” territory for those who only want 1 beer or a cup of coffee. We are exploring options, so please stay tuned for updates. We’ll see you down the road.<br>Lauren and Phillip<br>Join us for our weekly acoustic jam sessions co-hosted with Centennial Acoustic Music Association!<br>Here's how it works: we sit around in a circle and form a spontaneous ensemble of guitars, basses, fiddles, mandolins, bouzoukis, dobros, banjo, drums, bodhrans, pipes, whistles, ukuleles, harmonicas, and more. The musicians range in skill from beginners to professionals. Acoustic instruments, only. <br>You can take a turn leading a tune, you can follow, you can sing along, take the mic, or just tp your toes and enjoy the experience. The number of musicians range from 5 people up to 15 people, and we are an ever-changing dynamic ensemble.<br>Questions? Contact phillipmdouglas@gmail.com<br><br>Updated CR 1/6/23",Tuesdays. 7-9pm,weekly gathering
101,"*Denver, CO","Old Time Jam<br> Every 2nd Sunday of the Month<br>1-3pm<br>Instructor: Caleb James Hall <br><br>Swallow Hill Music<br>71 E Yale Ave<br>Denver, CO 80210<br><br>https://swallowhillmusic.configio.com/pd/1742/old-time-jam?<br><br>CR 2/13/2022",2nd Sunday,weekly gathering
103,"Denver, CO","Music Jam<br><br>Every 1st & 3rd Monday at 7pm join our Music Jam. Free! We play the same kinds of music we dance to, mostly from one of the Portland Collection books, the Fiddler's Fakebook (available many places online), Carpilation (free online!), or the Waltz books. We have extra copies of all of these to share at the jam. Occasionally we'll play original compositions people bring, or folk songs. All are welcome, even if you'd only like to listen. Refreshments provided.<br><br>Location: 2240 Perry St., Denver. Contact Duffy at 303-882-9361 for more info. If you'd like to be added to our jam e-mail list, click here and send us an e-mail.<br><br>At 1st Monday jams we usually go around the room picking tunes, 3rd Monday jams focus on our Megaband material, but everybody is invited and encouraged to join any of our jams.<br><br><br>http://www.cfootmad.org/index.php/jam<br><br>CR 1/14/2019",1st & 3rd Monday,weekly gathering
106,"Englewood, CO","Old-Time Music Jam <br>On hold<br>at Western Sky Bar and Taproom.<br>4361 S Broadway, Englewood, CO <br><br>https://www.facebook.com/events/2591139131207589/<br><br><br><br>Updated CR 2/3/2022",Old-Time Music Jam,annual event
107,"Fort Collins, CO   • Tap and Handle OT Open Jam","Tuesday nights<br>7:30-close (usually midnight)<br><br>Check out www.thecroma.org for other jam, dance, and festival info.                                              Updated JS 2/2/23",Tuesday,weekly gathering
109,"Golden, CO","Monthly on the second Sunday of each month, 10a-1p. Contact Jack Beuthin through FB messenger for location                                               Updated JS 2/2/23",second Sunday,weekly gathering
110,"Grand Junction, CO","Monthly, second Friday, 7-9pm<br>Fiddle Tune Jam at Western Colorado Community College:2508 Blichmann Ave.  Building B (Culinary Arts Building) Come on out and play some fiddle tunes with us. Come to the side door (Blichmann Ave. side) as it may be the only door open. There is plenty of parking on that side too (parking lot 4).                                       Updated JS 2/2/23",Friday,weekly gathering
112,"Longmont, CO","Every 4th Monday from 7:30 – 10:00 pm during the spring summer and fall. The folks of Stonebridge Farm CSA near Lyons graciously offer their Sunflower room for a monthly old-time jam. Please come, bring instruments, BYO drinks and a snack to share if so inclined. Everyone welcome from 7:30-10pm. Address: 5169 Highway 66, Longmont, Co 80503. It’s 2 miles east of Lyons on the north side of the road (look for mailbox and sandstone marker). Please park in the lot by the road and walk uphill past house, barn and to the greenhouse/Sunflower room which will be lit and warmed by the cozy woodstove. For more information, please contact Kayann: kshort@greenspeedisp.net<br><br>CR 1/14/2019",Monday,weekly gathering
113,"*Lyons, CO",10/6/22 Canceled for the winter<br><br>Old time.jam every Tuesday while the weather holds at A lodge!!!<br>There is a large courtyard and some beautiful red umbrellas.<br>Lots of cold drinks.<br>338 W Main St. Lyons<br>5:30 -8:30pm<br><br>Come one come all.<br>Updated CR 8/14/2022,Tuesday,weekly gathering
114,"Loveland, CO","If you don’t mind playing with Dulcimer players at beginner speeds tune your banjo to double D and come to 2707 N Wilson Ave Loveland, CO. first and third Thursday afternoon 12:30 to 3:00 PM very friendly to beginning banjo player.            JS 9/25/19",first and third Thursday,weekly gathering
117,"Salida, CO. Old Time & Bluegrass Jam","Old time & Bluegrass jam on the 2nd and 4th Thursdays each month, 6:00 - 8:30 pm<br>at The 146 Taphouse, <br>146 W. 1st Street, Salida, CO<br>Updated JS 2/2/23",2nd and 4th Thursdays,weekly gathering
118,"Salida, CO","Salida Old Time Open Jam, last Wednesday of every month, held at Soulcraft Brewing, 248 W. Rainbow Blvd. (Hwy. 50), Salida, Colorado, 6:30 - 8:30 pm<br><br>If any pickers are ever coming through this area and want to play some we can often throw together a jam pretty quickly. Contact Bruce Warren in a post on the Old Time Open Jams group.                                                                             Updated JS 2/2/23",Wednesday,weekly gathering
120,"Westcliffe, CO",Pretty Good String Band Jam                Community United Methodist Church<br>202 S. 6th St. Contact Name: Bev Allen<br>Contact Phone Number: 719-429-6350 Weekly on Wednesday (view full repeat details)<br>Start: 6:30 pm<br>End: 8:30 pm. http://www.folkjam.org/recurring-jam/us/co/westcliffe/pretty-good-string-band-jam-0                                                                              Updated JS 2/2/23,Wednesday,weekly gathering
121,"Berlin, CT","Pineloft Cafe OT Jam, 1st Tuesdays, 7pm<br>1474 Berlin Turnpike, Berlin, CT<br>https://oldtimeyjam.blogspot.com<br><br>CR 3/19/2022",1st Tuesdays,weekly gathering
122,"*Danielson, CT","The Old Fiddler's Club of Rhode Island (the oldest fiddle club in America) sponsors a 3rd Saturday jam 10:30- 12pm<br>Westfield Village Community Room<br>44 Westfield Village, Danielson, CT<br><br>http://oldfiddlersclubri.com/<br><br>JS 6/16/21",Saturday,weekly gathering
123,"*Deep River, CT","We are a group of fiddle campers who love learning tunes and jamming! Workshops and sessions are at 5:30pm most Sunday evenings in Deep River.<br>Shoreline Fiddle Club, at 98 Stevenstown Rd, **Deep River, CT **(near Groton), https://www.facebook.com/groups/234824004638815                                                                             JS 3/19/22",Sunday,weekly gathering
124,"Hamden, CT","Last Sunday each month, 2-5pm<br>Old time jam at the Counterweight Brewing Co.<br>23 Raccio Park Rd, Hamden, Connecticut<br>Join us the last Sunday of every month for a calming and relaxing Appalachian-style jam session, in our upstairs taproom. It's a knee-slapping good time!! No charge, just show up!       Updated JS 2/2/23",Last Sunday,weekly gathering
126,"Mansfield, CT","The Quiet Corner Fiddlers is an informal group of amateur fiddlers in northeastern CT. <br><br>Since 2005 we get together every Tuesday at 7:00PM to have fun playing traditional fiddle music, and to improve our fiddling skills. We mostly play reels, jigs, and waltzes, but also rags and Finnish and Klezmer tunes. At our sessions we go around the group, everyone in turn picking the next tune we play. Usually, the person picking a tune will play it as a solo first, then everyone joins in. <br><br>Occasionally we play out at various public performances. Every second Tuesday we hold our sessions at local restaurants such as Lakeview Restaurant in Coventry CT. To play with us, just show up with your fiddle. For locations contact Bernie at b.schreiber@snet.net . <br>https://www.facebook.com/groups/1509707945916442/<br><br>CR 2/18/2019",Tuesday,weekly gathering
127,"Middletown, CT","Pitkin Pickers Open Jam.  La Boca Mexican Rest., 337 Main St. Middletown CT.                          2nd Wed. of every month. 7:30 start time.              JS 2/2/23",7:30,weekly gathering
129,"New London, CT","Old Time Open Jam at The Social                            Every Monday at 6:30pm.                                            Clifftop week can be kind of iffy. And sometimes a major holiday falls on a Monday.       It’s a fairly fast jam. Open to all, but a beginner might have trouble keeping up and it’s pretty much old time genre.                                                  JS 2/2/23",Monday,weekly gathering
130,"Wethersfield, CT","Hartford Community Dance sponsors monthly contra dance jam sessions 5:30-7:15 p.m. second Saturdays at Griffith Dance Academy (formerly the American Legion Hall), 275 Main Street, Old Wethersfield, CT. The jams provide an opportunity for new and experienced musicians to learn, play, and enjoy the contra dance repertoire. Players of all instruments are welcome. The jam is most appropriate for ""intermediate"" skill levels. The jam session is followed by an introduction to contra dancing at 7:30 and a contra dance until 10:30 p.m. For more information, contact Rob at 860-232-2504. Web: http://www.hcdance.org/<br><br><br>CR 9/4/2019",5:30-7:15 p.m. second Saturdays,weekly gathering
